participant,recording,chunk,block,part,length,rater_label,confidence,nat_inf_label
MEG,7326,chunk35,FA1,27484300-27484933,633,ads,2,T
MEG,7326,chunk35,FA1,27497851-27498556,705,cds,2,T
MEG,7326,chunk35,FA1,27474680-27475216,536,ads,1,T
MEG,7326,chunk35,FA1,27445593-27446015,422,ads,1,T
MEG,7326,chunk35,FA1,27482175-27482689,514,ads,1,T
MEG,7326,chunk35,FA1,27495387-27496653,1266,cds,2,T
MEG,7326,chunk35,FA1,27476438-27478245,1807,ads,2,T
MEG,7326,chunk35,FA1,27439779-27440376,597,ads,1,T
MEG,7326,chunk35,FA1,27452793-27453783,990,ads,2,T
MEG,7326,chunk35,FA1,27455084-27457069,1985,ads,1,T
MEG,7326,chunk35,FA1,27493669-27494972,1303,cds,1,T
MEG,7326,chunk35,FA1,27463286-27463606,320,ads,1,T
MEG,7326,chunk35,FA1,27447716-27449188,1472,ads,1,T
MEG,7326,chunk31,FA1,26884295-26885450,1155,cds,2,T
MEG,7326,chunk31,FA1,26881563-26882619,1056,cds,2,T
MEG,7326,chunk31,FA1,26887647-26888577,930,cds,2,T
MEG,7326,chunk31,FA1,26890837-26892231,1394,cds,2,T
MEG,7326,chunk31,FA1,26886380-26886873,493,cds,2,T
MEG,7326,chunk31,FA1,26879788-26881267,1479,cds,3,T
MEG,7326,chunk31,FA1,26894287-26894921,634,cds,2,T
MEG,7326,chunk19,FA1,10074187-10075288,1101,cds,1,T
MEG,7326,chunk19,MA4,10075163-10076157,994,ads,2,A
MEG,7326,chunk19,MA4,10076548-10077524,976,ads,2,A
MEG,7326,chunk18,FA3,10025135-10026681,1546,cds,1,A
MEG,7326,chunk18,MA3,10008380-10013587,5207,ads,3,A
MEG,7326,chunk18,MA3,10014297-10015977,1680,ads,3,A
MEG,7326,chunk18,FA1,10052301-10052842,541,cds,2,T
MEG,7326,chunk18,FA1,10059624-10060037,413,cds,1,A
MEG,7326,chunk18,FA1,10057939-10058301,362,cds,1,A
MEG,7326,chunk18,FA1,10064442-10064868,426,cds,2,A
MEG,7326,chunk18,FA1,10050864-10051313,449,cds,1,T
MEG,7326,chunk18,FA1,10051938-10052264,326,cds,1,T
MEG,7326,chunk18,MA4,10016642-10017924,1282,ads,3,A
MEG,7326,chunk26,FA1,18383265-18383548,283,cds,2,T
MEG,7326,chunk26,FA1,18395713-18397176,1463,ads,2,T
MEG,7326,chunk26,FA1,18399857-18400852,995,ads,2,T
MEG,7326,chunk26,FA1,18398090-18398934,844,ads,2,T
MEG,7326,chunk26,FA1,18392893-18394925,2032,ads,3,T
MEG,7326,chunk26,FA1,18399092-18399692,600,ads,2,T
MEG,7326,chunk26,FA1,18386955-18387528,573,cds,3,T
MEG,7326,chunk26,FA1,18385478-18386120,642,cds,2,T
MEG,7326,chunk26,FA1,18402613-18403959,1346,ads,2,T
MEG,7326,chunk26,FA1,18409602-18410719,1117,cds,2,T
MEG,7326,chunk26,FA1,18390083-18390586,503,ads,2,T
MEG,7326,chunk26,FA1,18388405-18388981,576,cds,3,T
MEG,7326,chunk26,FA1,18384050-18384475,425,cds,2,T
MEG,7326,chunk26,FA1,18407358-18408237,879,cds,2,T
MEG,7326,chunk26,FA1,18405145-18405655,510,cds,1,T
MEG,7326,chunk30,FC3,18637448-18638386,938,ads,3,A
MEG,7326,chunk30,FC3,18640311-18640682,371,ads,3,A
MEG,7326,chunk30,FC3,18651192-18651761,569,ads,2,A
MEG,7326,chunk30,FC3,18649169-18650020,851,ads,3,A
MEG,7326,chunk30,FA1,18647629-18648600,971,cds,2,C
MEG,7326,chunk30,FA1,18645639-18647176,1537,cds,2,C
MEG,7326,chunk30,FA1,18642946-18644938,1992,cds,2,C
MEG,7326,chunk30,FA1,18639420-18642065,2645,cds,3,C
MEG,7326,chunk30,FA1,18628348-18630225,1877,cds,2,C
MEG,7326,chunk30,FA1,18631985-18632709,724,cds,3,C
MEG,7326,chunk30,FA1,18649885-18650467,582,cds,3,C
MEG,7326,chunk44,FA1,28467590-28468330,740,cds,1,T
MEG,7326,chunk44,FA1,28504950-28506310,1360,cds,3,T
MEG,7326,chunk44,FA1,28513710-28514310,600,cds,3,T
MEG,7326,chunk44,FA1,28481150-28481580,430,cds,3,T
MEG,7326,chunk44,FA1,28485910-28487540,1630,cds,3,T
MEG,7326,chunk44,FA1,28476810-28478230,1420,cds,3,T
MEG,7326,chunk44,FA1,28494900-28496430,1530,cds,3,T
MEG,7326,chunk44,FA1,28516380-28517610,1230,cds,1,T
MEG,7326,chunk44,FA1,28474150-28474940,790,junk,1,T
MEG,7326,chunk44,FA1,28492530-28493500,970,cds,2,T
MEG,7326,chunk44,FA1,28500990-28503950,2960,cds,3,T
MEG,7326,chunk44,FA1,28472530-28473430,900,cds,1,T
MEG,7326,chunk44,FA1,28506850-28507650,800,cds,3,T
MEG,7326,chunk44,FA1,28514570-28516130,1560,cds,2,T
MEG,7326,chunk44,FA1,28465700-28467050,1350,cds,2,T
MEG,7326,chunk44,FA1,28475720-28476730,1010,cds,3,T
MEG,7326,chunk44,FA1,28481950-28482940,990,cds,3,T
MEG,7326,chunk44,FA1,28483990-28485310,1320,cds,3,T
MEG,7326,chunk44,FA1,28490110-28491630,1520,cds,2,T
MEG,7326,chunk44,FA1,28461870-28464100,2230,cds,2,T
MEG,7326,chunk44,FA1,28471290-28472340,1050,cds,1,T
MEG,7326,chunk44,FA1,28510190-28511240,1050,cds,3,T
MEG,7326,chunk44,FA1,28464600-28465090,490,cds,2,T
MEG,7326,chunk9,FA1,6972525-6972886,361,ads,1,T
MEG,7326,chunk9,FA1,6935357-6936418,1061,cds,2,T
MEG,7326,chunk9,FA1,6927496-6928764,1268,cds,2,T
MEG,7326,chunk9,FA1,6940080-6941386,1306,cds,2,T
MEG,7326,chunk23,FA1,15034285-15035107,822,ads,1,T
MEG,7326,chunk23,FA1,14981606-14982834,1228,ads,2,T
MEG,7326,chunk23,FA1,15001357-15002845,1488,ads,2,T
MEG,7326,chunk23,FA1,15031988-15033130,1142,cds,1,T
MEG,7326,chunk23,FA1,14995127-14996124,997,ads,2,T
MEG,7326,chunk23,FA1,15028904-15031154,2250,cds,1,T
MEG,7326,chunk23,FA1,15039869-15041583,1714,ads,1,T
MEG,7326,chunk23,FA1,14983859-14984859,1000,ads,2,T
MEG,7326,chunk23,FA4,15014511-15016011,1500,ads,3,C
MEG,7326,chunk23,FA4,15038428-15039833,1405,ads,3,C
MEG,7326,chunk23,FA4,15026155-15028255,2100,ads,3,C
MEG,7326,chunk23,FA4,15018035-15019961,1926,ads,3,C
MEG,7326,chunk23,FA4,15030452-15030976,524,ads,3,C
MEG,7326,chunk3,MA1,3929170-3930190,1020,ads,3,A
MEG,7326,chunk3,MA1,3916430-3917620,1190,ads,3,A
MEG,7326,chunk3,MA1,3948483-3949358,875,ads,3,A
MEG,7326,chunk3,MA1,3925099-3925524,425,ads,3,A
MEG,7326,chunk3,MA1,3955369-3956780,1411,ads,3,A
MEG,7326,chunk3,MA1,3961286-3961874,588,ads,3,A
MEG,7326,chunk3,MA1,3947192-3948393,1201,ads,3,A
MEG,7326,chunk3,MA1,3957829-3959649,1820,ads,3,A
MEG,7326,chunk3,MA1,3930287-3931750,1463,ads,3,A
MEG,7326,chunk3,MA1,3933490-3935610,2120,ads,3,A
MEG,7326,chunk3,MA1,3935730-3938460,2730,ads,3,A
MEG,7326,chunk3,MA1,3920905-3923698,2793,ads,3,A
MEG,7326,chunk3,MA1,3938815-3940390,1575,ads,3,A
MEG,7326,chunk3,MA1,3959810-3960940,1130,ads,3,A
MEG,7326,chunk3,FC1,3945586-3946600,1014,ads,1,C
MEG,7326,chunk3,FC1,3956933-3957839,906,ads,1,C
MEG,7326,chunk3,FC2,3943970-3944430,460,ads,2,C
MEG,7326,chunk3,FC2,3948440-3949610,1170,ads,2,C
MEG,7326,chunk3,MA2,3923102-3925397,2295,ads,3,A
MEG,7326,chunk3,MA2,3919889-3920916,1027,ads,3,A
MEG,7326,chunk3,MA2,3962680-3965324,2644,ads,3,A
MEG,7326,chunk3,MA2,3917974-3919339,1365,ads,3,A
MEG,7326,chunk3,MA2,3926670-3928061,1391,ads,3,A
MEG,7326,chunk3,FA2,3936107-3937058,951,ads,3,A
MEG,7326,chunk3,FA2,3906494-3908430,1936,ads,2,A
MEG,7326,chunk3,FA2,3908758-3910141,1383,ads,2,A
MEG,7326,chunk3,FA2,3957240-3958630,1390,ads,1,A
MEG,7326,chunk3,FA2,3937867-3938896,1029,ads,3,A
MEG,7326,chunk3,FA2,3915040-3917725,2685,ads,3,A
MEG,7326,chunk3,FA2,3942679-3943824,1145,ads,3,A
MEG,7326,chunk3,FA2,3955050-3956550,1500,ads,3,A
MEG,7326,chunk3,FA2,3904935-3905885,950,ads,2,A
MEG,7326,chunk3,FA2,3952236-3952625,389,ads,3,A
MEG,7326,chunk3,FA2,3953380-3954335,955,ads,3,A
MEG,7326,chunk3,FA3,3948252-3952398,4146,ads,2,A
MEG,7326,chunk3,FA3,3910989-3913887,2898,ads,2,A
MEG,7326,chunk3,FA3,3953960-3955680,1720,ads,2,A
MEG,7326,chunk3,FA3,3945370-3947679,2309,ads,2,A
MEG,7326,chunk3,FA1,3963252-3963805,553,cds,2,T
MEG,7326,chunk3,MA3,3928541-3929281,740,ads,2,A
MEG,7326,chunk3,MA3,3941762-3943413,1651,ads,2,A
MEG,7326,chunk3,MA3,3940742-3941200,458,ads,2,A
MEG,7326,chunk3,MA3,3935755-3936407,652,ads,2,A
MEG,7326,chunk3,MA3,3954480-3955230,750,ads,2,A
MEG,7326,chunk3,MA3,3919301-3920095,794,ads,2,A
MEG,7326,chunk3,MA3,3905783-3906223,440,ads,2,A
MEG,7326,chunk3,MA3,3904687-3905473,786,ads,2,A
MEG,7326,chunk3,MA3,3913470-3916350,2880,ads,2,A
MEG,7326,chunk2,MA1,3872540-3874099,1559,ads,2,A
MEG,7326,chunk2,MA1,3855451-3855818,367,ads,2,A
MEG,7326,chunk2,MA1,3865280-3867213,1933,ads,2,A
MEG,7326,chunk2,MA1,3853895-3854253,358,ads,2,A
MEG,7326,chunk2,MA1,3846720-3849190,2470,ads,3,A
MEG,7326,chunk2,MA1,3859215-3861416,2201,ads,2,A
MEG,7326,chunk2,MA1,3883517-3885229,1712,ads,2,A
MEG,7326,chunk2,MA1,3849397-3850772,1375,ads,3,A
MEG,7326,chunk2,MA1,3877400-3878950,1550,ads,2,A
MEG,7326,chunk2,MA1,3845182-3846099,917,ads,1,A
MEG,7326,chunk2,MA1,3867358-3869083,1725,ads,3,A
MEG,7326,chunk2,MA1,3855839-3857515,1676,ads,2,A
MEG,7326,chunk2,MA1,3862759-3863771,1012,ads,2,A
MEG,7326,chunk2,MA1,3893280-3893807,527,ads,2,A
MEG,7326,chunk2,MA1,3869491-3871786,2295,ads,3,A
MEG,7326,chunk2,MA1,3857713-3858885,1172,ads,2,A
MEG,7326,chunk2,FC1,3880700-3882350,1650,ads,0,C
MEG,7326,chunk2,FC2,3874271-3875921,1650,ads,1,C
MEG,7326,chunk2,FC2,3892709-3893206,497,ads,1,C
MEG,7326,chunk2,MA2,3879143-3880305,1162,ads,1,A
MEG,7326,chunk2,MA2,3882494-3883236,742,ads,1,A
MEG,7326,chunk2,MA2,3846423-3846850,427,ads,1,A
MEG,7326,chunk2,MA2,3862004-3862327,323,ads,2,A
MEG,7326,chunk2,MA2,3888550-3890301,1751,ads,1,A
MEG,7326,chunk2,MA2,3864443-3864762,319,ads,1,A
MEG,7326,chunk2,MA2,3887990-3888430,440,ads,1,A
MEG,7326,chunk2,MA2,3843690-3844072,382,ads,2,A
MEG,7326,chunk2,MA2,3876000-3877320,1320,ads,1,A
MEG,7326,chunk2,MA2,3891623-3891974,351,ads,1,A
MEG,7326,chunk2,FA2,3889731-3891526,1795,ads,2,A
MEG,7326,chunk2,FA2,3902760-3904263,1503,ads,3,A
MEG,7326,chunk2,FA2,3888710-3889450,740,ads,2,A
MEG,7326,chunk2,FA2,3901270-3902450,1180,ads,3,A
MEG,7326,chunk2,FA2,3894380-3897324,2944,ads,3,A
MEG,7326,chunk2,FA2,3892046-3893336,1290,ads,3,A
MEG,7326,chunk2,FA2,3899580-3901129,1549,ads,3,A
MEG,7326,chunk2,MA3,3898575-3899331,756,ads,3,A
MEG,7326,chunk2,MA3,3875560-3875890,330,ads,3,A
MEG,7326,chunk2,MA3,3851924-3853812,1888,ads,3,A
MEG,7326,chunk2,MA3,3871721-3872312,591,ads,3,A
MEG,7326,chunk2,MA3,3892055-3892543,488,ads,3,A
MEG,7326,chunk2,MA3,3890168-3890648,480,ads,3,A
MEG,7326,chunk2,MA3,3893692-3894237,545,ads,3,A
MEG,7326,chunk2,MA3,3890671-3891759,1088,ads,3,A
MEG,7326,chunk2,MA3,3874120-3874620,500,ads,3,A
MEG,7326,chunk2,MA3,3880807-3882545,1738,ads,3,A
MEG,7326,chunk2,MA3,3886616-3888843,2227,ads,3,A
MEG,7326,chunk6,FA1,4402455-4403095,640,ads,2,T
MEG,7326,chunk6,FA1,4404480-4405230,750,ads,2,T
MEG,7326,chunk6,FA1,4418600-4419070,470,ads,1,T
MEG,7326,chunk6,FA1,4422840-4423570,730,ads,2,T
MEG,7326,chunk6,FA1,4438535-4439165,630,ads,2,T
MEG,7326,chunk6,FA1,4412540-4412830,290,ads,2,T
MEG,643,chunk3,FC1,2136291-2139061,2770,ads,2,A
MEG,643,chunk3,FC2,2132774-2134453,1679,ads,2,C
MEG,643,chunk3,FA1,2098013-2098586,573,cds,3,C
MEG,643,chunk3,FA1,2100362-2103415,3053,cds,3,C
MEG,643,chunk3,FA1,2114499-2118421,3922,cds,3,C
MEG,643,chunk3,FA1,2104886-2107670,2784,cds,3,C
MEG,643,chunk3,FA1,2082688-2086281,3593,cds,3,C
MEG,643,chunk3,FA1,2094558-2096379,1821,cds,3,C
MEG,643,chunk3,FA1,2108367-2113444,5077,cds,3,C
MEG,643,chunk3,FA1,2123228-2125629,2401,cds,3,C
MEG,643,chunk3,FA1,2127000-2127799,799,cds,3,C
MEG,643,chunk2,FC1,2037133-2038744,1611,ads,3,A
MEG,643,chunk2,FC1,2042359-2042512,153,ads,2,A
MEG,643,chunk2,FC2,2062764-2063031,267,ads,3,A
MEG,643,chunk2,FC2,2058252-2058750,498,ads,3,A
MEG,643,chunk2,FC2,2015961-2016301,340,ads,3,A
MEG,643,chunk2,FC2,2060656-2061514,858,ads,3,A
MEG,643,chunk2,FA1,2016491-2017690,1199,cds,3,C
MEG,643,chunk2,FA1,2059578-2060477,899,cds,3,C
MEG,643,chunk2,FA1,2038595-2041422,2827,cds,3,C
MEG,643,chunk2,FA1,2058819-2059397,578,cds,3,C
MEG,643,chunk2,FA1,2061758-2062064,306,cds,3,C
MEG,643,chunk2,FA1,2051075-2057866,6791,cds,3,C
MEG,643,chunk2,FC3,2046277-2047982,1705,ads,2,A
MEG,643,chunk2,FC3,2048629-2050525,1896,ads,2,A
MEG,643,chunk1,FC1,1974756-1975462,706,ads,2,A
MEG,643,chunk1,FC1,1972534-1972766,232,ads,3,A
MEG,643,chunk1,FC2,1990094-1991482,1388,ads,3,C
MEG,643,chunk1,FC2,1994600-1995065,465,ads,3,A
MEG,643,chunk1,FA1,1970580-1971675,1095,cds,3,C
MEG,643,chunk1,FA1,2005915-2007548,1633,cds,2,C
MEG,643,chunk1,FA1,1984191-1984724,533,cds,3,C
MEG,643,chunk1,FA1,1975177-1975511,334,cds,1,C
MEG,643,chunk1,FA1,1998958-2000379,1421,cds,2,C
MEG,643,chunk1,FA1,1994607-1998462,3855,cds,2,C
MEG,643,chunk1,FA1,2003725-2005249,1524,cds,2,C
MEG,643,chunk1,FA1,1973081-1974532,1451,cds,3,C
MEG,643,chunk1,FA1,1991673-1992200,527,cds,3,C
MEG,643,chunk1,FA1,1954162-1954508,346,cds,2,C
MEG,643,chunk1,FC3,1963068-1963384,316,ads,2,T
MEG,643,chunk1,FC3,2007933-2008335,402,ads,2,A
MEG,643,chunk1,FC3,2000865-2001319,454,ads,3,A
MEG,2625,chunk11,FA1,9535297-9535519,222,cds,2,T
MEG,2625,chunk11,FA1,9525304-9526258,954,cds,2,T
MEG,2625,chunk11,FA1,9528116-9528350,234,cds,2,T
MEG,2625,chunk11,FA1,9529463-9530647,1184,cds,2,T
MEG,2625,chunk11,MC1,9551266-9552518,1252,ads,2,T
MEG,2625,chunk11,MC1,9563954-9564647,693,ads,2,T
MEG,2625,chunk11,MC1,9554377-9555665,1288,ads,2,T
MEG,2625,chunk11,MC1,9559687-9561137,1450,ads,2,T
MEG,2625,chunk11,MC1,9546650-9547617,967,ads,3,T
MEG,2625,chunk11,MC1,9565299-9566104,805,ads,2,T
MEG,2625,chunk11,MC1,9574807-9575819,1012,ads,2,T
MEG,2625,chunk11,MC1,9561665-9562923,1258,ads,2,T
MEG,2625,chunk11,MC1,9578570-9580157,1587,ads,2,T
MEG,2625,chunk11,MC1,9548541-9549922,1381,ads,3,T
MEG,2625,chunk11,MC1,9569975-9570305,330,ads,2,T
MEG,2625,chunk22,FA2,12914634-12915660,1026,cds,3,T
MEG,2625,chunk22,FA2,12912264-12914382,2118,cds,3,T
MEG,2625,chunk22,FA2,12909817-12911308,1491,cds,3,T
MEG,2625,chunk22,FA1,12956820-12957420,600,junk,2,A
MEG,2625,chunk22,FA1,12934345-12934872,527,cds,3,T
MEG,2625,chunk22,FA1,12947760-12948710,950,junk,2,T
MEG,2625,chunk22,FA1,12936860-12939308,2448,cds,3,T
MEG,2625,chunk22,FA1,12942981-12943725,744,cds,2,T
MEG,2625,chunk23,FA1,12972456-12973213,757,cds,1,T
MEG,2625,chunk21,MA1,12845051-12846216,1165,cds,2,T
MEG,2625,chunk21,MA1,12843194-12844097,903,ads,2,T
MEG,2625,chunk21,FA1,12892204-12892788,584,cds,2,T
MEG,2625,chunk21,FA1,12860569-12862800,2231,ads,1,T
MEG,2625,chunk31,FA1,18490289-18490891,602,cds,1,T
MEG,2625,chunk33,FA1,18702690-18703350,660,cds,3,C
MEG,2625,chunk33,FA1,18669823-18671087,1264,cds,3,C
MEG,2625,chunk33,FA1,18693000-18694157,1157,cds,3,C
MEG,2625,chunk33,FA1,18696302-18697052,750,cds,3,C
MEG,2625,chunk33,MC1,18657537-18658099,562,ads,3,T
MEG,2625,chunk33,MC1,18695738-18702955,7217,ads,3,A
MEG,2625,chunk33,MC1,18671636-18673890,2254,ads,3,A
MEG,2625,chunk33,MC1,18658863-18659221,358,ads,3,T
MEG,2625,chunk33,MC1,18654859-18655368,509,ads,3,T
MEG,2625,chunk25,MA1,16480785-16481484,699,ads,2,C
MEG,2625,chunk25,FA1,16470650-16471247,597,ads,2,T
MEG,2625,chunk25,FA1,16510077-16510738,661,ads,3,T
MEG,2625,chunk35,FA1,27467745-27468337,592,cds,3,C
MEG,2625,chunk35,FA1,27466499-27467202,703,junk,3,C
MEG,2625,chunk35,FA1,27449426-27450460,1034,cds,3,C
MEG,2625,chunk35,FA1,27475876-27476920,1044,cds,3,C
MEG,2625,chunk35,FA1,27439846-27440704,858,cds,2,C
MEG,2625,chunk35,FA1,27469190-27471462,2272,cds,3,C
MEG,2625,chunk35,FA1,27445355-27446376,1021,cds,2,C
MEG,2625,chunk35,FA1,27431826-27432982,1156,ads,1,C
MEG,2625,chunk35,FA1,27437488-27438596,1108,cds,3,C
MEG,2625,chunk35,FA1,27435617-27437045,1428,cds,3,C
MEG,2625,chunk35,FA1,27428927-27430374,1447,cds,1,C
MEG,2625,chunk35,MC1,27440896-27441942,1046,ads,3,A
MEG,2625,chunk35,MC1,27473575-27475677,2102,ads,3,A
MEG,2625,chunk35,MC1,27436816-27438037,1221,ads,3,A
MEG,2625,chunk35,MC1,27471496-27472754,1258,ads,1,A
MEG,2625,chunk35,MC1,27427864-27429293,1429,ads,3,C
MEG,2625,chunk35,MC1,27446859-27447596,737,ads,3,A
MEG,2625,chunk35,MC1,27435937-27436367,430,ads,3,A
MEG,2625,chunk35,MC1,27450462-27451147,685,ads,3,A
MEG,2625,chunk35,MC1,27435033-27435565,532,ads,3,A
MEG,2625,chunk48,MC1,32560720-32561610,890,cds,3,T
MEG,2625,chunk48,MC1,32554790-32556810,2020,cds,3,T
MEG,2625,chunk49,FA1,32760405-32761895,1490,cds,1,T
MEG,2625,chunk49,FA1,32758515-32759745,1230,cds,2,T
MEG,2625,chunk49,FA1,32733810-32734730,920,cds,1,T
MEG,2625,chunk24,MA1,16410543-16411364,821,ads,2,A
MEG,2625,chunk24,MA1,16406743-16407264,521,ads,2,A
MEG,2625,chunk24,FA1,16409521-16409819,298,ads,2,A
MEG,2625,chunk24,FA1,16424473-16425717,1244,ads,2,T
MEG,2625,chunk24,FA1,16462848-16463502,654,ads,2,T
MEG,2625,chunk24,FA1,16411369-16411785,416,ads,2,A
MEG,2625,chunk1,FC2,2553145-2553570,425,cds,2,T
MEG,2625,chunk1,FC2,2536445-2537505,1060,ads,1,T
MEG,2625,chunk1,FC2,2528115-2530855,2740,ads,3,T
MEG,2625,chunk1,FC2,2541380-2543400,2020,ads,1,T
MEG,2625,chunk1,FC2,2564745-2565765,1020,cds,2,T
MEG,2625,chunk1,FC2,2551735-2553105,1370,cds,1,T
MEG,2625,chunk1,FC2,2557115-2557865,750,cds,2,T
MEG,2625,chunk1,FC2,2550505-2550795,290,junk,2,T
MEG,2625,chunk1,FC2,2558435-2559065,630,cds,2,T
MEG,2625,chunk1,FC2,2532270-2532920,650,ads,1,T
MEG,2625,chunk1,FC2,2534540-2535780,1240,ads,1,T
MEG,2625,chunk1,FC2,2560955-2561205,250,cds,3,T
MEG,2625,chunk1,FC2,2545460-2546010,550,ads,1,T
MEG,2625,chunk1,FC2,2559735-2560165,430,cds,3,T
MEG,2625,chunk1,FC2,2567780-2569210,1430,cds,2,T
MEG,2625,chunk1,FC2,2546740-2547970,1230,cds,1,T
MEG,2625,chunk1,FC2,2516370-2517090,720,ads,2,T
MEG,2625,chunk1,FC2,2549060-2549600,540,cds,2,T
MEG,2625,chunk1,FC2,2553595-2555105,1510,cds,2,T
MEG,2625,chunk1,FC2,2543895-2544615,720,ads,1,T
MEG,2625,chunk1,MC1,2570896-2571732,836,cds,1,C
MEG,2625,chunk43,FA1,32238747-32239965,1218,cds,1,C
MEG,2625,chunk43,FA1,32190005-32190701,696,cds,3,C
MEG,2625,chunk43,FA1,32237235-32237834,599,cds,1,C
MEG,2625,chunk43,FA1,32227622-32228610,988,cds,2,C
MEG,2625,chunk43,FA1,32233412-32234212,800,cds,1,C
MEG,2625,chunk43,FA1,32209234-32210331,1097,cds,2,C
MEG,2625,chunk43,FA1,32229891-32230843,952,cds,1,C
MEG,2625,chunk43,FA1,32186559-32187315,756,cds,1,C
MEG,2625,chunk43,FA1,32213265-32214462,1197,cds,2,C
MEG,2625,chunk43,FA1,32191653-32192104,451,cds,2,C
MEG,2625,chunk43,MC1,32190692-32191123,431,ads,3,A
MEG,2625,chunk43,MC1,32210287-32210638,351,ads,3,A
MEG,2625,chunk43,MC1,32208848-32209317,469,ads,3,A
MEG,2625,chunk43,MC1,32192766-32193542,776,ads,3,A
MEG,2625,chunk43,MC1,32214558-32214966,408,ads,3,A
MEG,3026,chunk12,FA1,5898664-5902227,3563,cds,1,T
MEG,3026,chunk12,FA1,5896462-5897908,1446,cds,1,T
MEG,3026,chunk12,FA1,5887175-5888886,1711,cds,1,T
MEG,3026,chunk12,FA1,5890449-5891500,1051,cds,1,T
MEG,3026,chunk28,MA1,29302080-29309896,7816,ads,2,A
MEG,3026,chunk28,MA1,29319942-29324574,4632,ads,3,A
MEG,3026,chunk28,MA1,29298183-29299281,1098,ads,2,T
MEG,3026,chunk28,MA1,29311363-29313763,2400,ads,1,A
MEG,3026,chunk28,FC2,29307335-29310478,3143,ads,3,A
MEG,3026,chunk28,FC2,29311987-29313597,1610,ads,3,A
MEG,3026,chunk28,FC2,29315324-29316548,1224,ads,3,A
MEG,3026,chunk28,FA1,29348952-29356226,7274,ads,2,C
MEG,3026,chunk28,FA1,29319329-29320006,677,ads,2,C
MEG,3026,chunk28,FA1,29326330-29327050,720,ads,2,A
MEG,3026,chunk28,FA1,29324069-29324738,669,ads,2,A
MEG,3026,chunk28,FA1,29329204-29330454,1250,ads,2,A
MEG,3026,chunk28,FA1,29317649-29318792,1143,ads,2,C
MEG,3026,chunk39,FC1,32460630-32463153,2523,ads,3,C
MEG,3026,chunk39,FC1,32459506-32460469,963,ads,1,C
MEG,3026,chunk39,FC2,32481935-32485821,3886,ads,1,C
MEG,3026,chunk39,FC2,32518814-32523624,4810,ads,2,C
MEG,3026,chunk39,FC2,32517221-32518519,1298,ads,2,C
MEG,3026,chunk39,FC2,32508063-32509001,938,ads,2,C
MEG,3026,chunk39,FC2,32512918-32516581,3663,ads,2,C
MEG,3026,chunk39,FC2,32486271-32488450,2179,ads,2,C
MEG,3026,chunk39,FC2,32509097-32510215,1118,ads,2,C
MEG,3026,chunk39,FA1,32499944-32504361,4417,ads,3,C
MEG,3026,chunk39,FA1,32499071-32499445,374,ads,1,C
MEG,3026,chunk15,FC1,9002114-9003773,1659,ads,3,A
MEG,3026,chunk15,FC1,9000981-9001547,566,ads,3,A
MEG,3026,chunk15,FA1,8978654-8979086,432,cds,2,T
MEG,3026,chunk15,FA1,9003547-9004150,603,cds,3,C
MEG,3026,chunk15,FA1,9001377-9002037,660,cds,3,C
MEG,3026,chunk15,FA1,8982657-8983773,1116,cds,1,T
MEG,3026,chunk15,FA1,8945386-8946011,625,cds,1,T
MEG,3026,chunk15,FA1,8947888-8948320,432,cds,2,T
MEG,3026,chunk15,FA1,8984620-8985943,1323,cds,1,T
MEG,3026,chunk15,FA1,8944055-8944602,547,cds,2,T
MEG,3026,chunk22,FA1,17071320-17072730,1410,ads,2,T
MEG,3026,chunk22,FA1,17067890-17069060,1170,ads,2,T
MEG,3026,chunk22,FA1,17050830-17051630,800,ads,2,T
MEG,3026,chunk22,FA1,17050430-17050820,390,ads,2,T
MEG,3026,chunk22,FA1,17073680-17074300,620,ads,2,T
MEG,3026,chunk22,FA1,17040060-17041580,1520,ads,2,T
MEG,3026,chunk22,FA1,17053090-17053610,520,ads,2,T
MEG,3026,chunk22,FA1,17054620-17055450,830,ads,2,T
MEG,3026,chunk22,FA1,17063970-17064790,820,ads,2,T
MEG,3026,chunk37,FC1,30757720-30758110,390,ads,2,A
MEG,3026,chunk37,FC1,30769095-30770015,920,ads,2,A
MEG,3026,chunk37,FC1,30760775-30761435,660,ads,2,A
MEG,3026,chunk37,FC1,30743120-30744670,1550,ads,2,A
MEG,3026,chunk37,FC1,30756780-30757300,520,ads,2,A
MEG,3026,chunk37,FC1,30778110-30779060,950,ads,2,A
MEG,3026,chunk37,FC1,30772495-30774345,1850,ads,2,A
MEG,3026,chunk37,FC1,30758365-30758905,540,ads,2,A
MEG,3026,chunk37,FC1,30761465-30761775,310,ads,2,A
MEG,3026,chunk37,FC1,30746320-30747780,1460,ads,2,A
MEG,3026,chunk37,FC2,30759345-30760115,770,ads,1,C
MEG,3026,chunk37,FC2,30791265-30795580,4315,ads,3,A
MEG,3026,chunk37,FC2,30783205-30784485,1280,ads,2,A
MEG,3026,chunk37,FA1,30768250-30769800,1550,cds,2,C
MEG,3026,chunk37,FA1,30770695-30772635,1940,cds,2,C
MEG,3026,chunk37,FA1,30781320-30782740,1420,cds,2,C
MEG,3026,chunk37,FA1,30760130-30761060,930,cds,2,C
MEG,3026,chunk37,FA1,30763280-30763950,670,cds,2,C
MEG,3026,chunk37,FA1,30758365-30759240,875,cds,2,C
MEG,3026,chunk37,FA1,30782960-30784330,1370,cds,2,C
MEG,3026,chunk37,FA1,30791440-30792270,830,cds,2,C
